Date,Wind_Total Generation,Solar_Total Generation,System Load
2015-01-01,672,,6942
2015-01-02,885,,7535
2015-01-03,99,,7601
2015-01-04,212,,7694
2015-01-05,327,,8000
2015-01-06,33,,8026
2015-01-07,810,,8017
2015-01-08,495,,8007
2015-01-09,568,,8013
2015-01-10,80,,7705
2015-01-11,88,,7693
2015-01-12,568,,7912
2015-01-13,979,,7701
2015-01-14,974,,7532
2015-01-15,955,,7650
2015-01-16,1163,,7559
2015-01-17,1014,,7216
2015-01-18,848,,7172
2015-01-19,1087,,7537
2015-01-20,451,,7488
2015-01-21,964,,7578
2015-01-22,1183,,7383
2015-01-23,1086,,7342
2015-01-24,921,,6990
2015-01-25,1039,,6872
2015-01-26,886,,7293
2015-01-27,890,,7384
2015-01-28,266,,7409
2015-01-29,592,,7443
2015-01-30,420,,7455
2015-01-31,268,,7378
2015-02-01,446,,7317
2015-02-02,141,,7697
2015-02-03,72,,7753
2015-02-04,755,,7620
2015-02-05,520,,7712
2015-02-06,704,,7756
2015-02-07,828,,7353
2015-02-08,474,,7272
2015-02-09,95,,7714
2015-02-10,70,,7739
2015-02-11,351,,7827
2015-02-12,799,,7495
2015-02-13,705,,7391
2015-02-14,438,,7031
2015-02-15,341,,6838
2015-02-16,241,,7070
2015-02-17,63,,7506
2015-02-18,549,,7307
2015-02-19,790,,7240
2015-02-20,387,,7352
2015-02-21,225,,7191
2015-02-22,457,,7088
2015-02-23,770,,7280
2015-02-24,908,,7320
2015-02-25,295,,7511
2015-02-26,400,,7635
2015-02-27,298,,7457
2015-02-28,282,,7029
2015-03-01,581,,6988
2015-03-02,887,,7592
2015-03-03,320,,7643
2015-03-04,585,,7599
2015-03-05,868,,7374
2015-03-06,930,,7222
2015-03-07,452,,6922
2015-03-08,741,,6783
2015-03-09,1033,,7193
2015-03-10,550,,7199
2015-03-11,747,,7239
2015-03-12,1025,,7086
2015-03-13,676,,6907
2015-03-14,1044,,6597
2015-03-15,592,,6644
2015-03-16,125,,7040
2015-03-17,223,,6964
2015-03-18,279,,6917
2015-03-19,820,,7098
2015-03-20,342,,7101
2015-03-21,607,,6892
2015-03-22,243,,6692
2015-03-23,97,,7073
2015-03-24,41,,7065
2015-03-25,704,,7011
2015-03-26,945,,6938
2015-03-27,914,,6826
2015-03-28,940,,6570
2015-03-29,1086,,6521
2015-03-30,704,,6849
2015-03-31,1013,,6924
2015-04-01,1078,,7053
2015-04-02,259,,6925
2015-04-03,435,,6494
2015-04-04,281,,6616
2015-04-05,195,,6508
2015-04-06,282,,6868
2015-04-07,101,,6860
2015-04-08,118,,6827
2015-04-09,254,,6839
2015-04-10,860,,6815
2015-04-11,1081,,6498
2015-04-12,1115,,6540
2015-04-13,479,,6763
2015-04-14,689,,6840
2015-04-15,580,,6787
2015-04-16,594,,6821
2015-04-17,619,,6815
2015-04-18,558,,6443
2015-04-19,62,,6375
2015-04-20,176,,6766
2015-04-21,252,,6768
2015-04-22,863,,6776
2015-04-23,621,,6767
2015-04-24,627,,6777
2015-04-25,418,,6520
2015-04-26,201,,6394
2015-04-27,587,,6890
2015-04-28,570,,6858
2015-04-29,791,,6799
2015-04-30,925,,6772
2015-05-01,904,,6665
2015-05-02,306,,6334
2015-05-03,195,,6247
2015-05-04,234,,6658
2015-05-05,760,,6708
2015-05-06,581,,6759
2015-05-07,110,,6568
2015-05-08,167,,6437
2015-05-09,176,,6170
2015-05-10,207,,6141
2015-05-11,150,,6514
2015-05-12,168,,6545
2015-05-13,273,,6539
2015-05-14,172,,6540
2015-05-15,157,,6517
2015-05-16,522,,6335
2015-05-17,224,,6134
2015-05-18,309,,6166
2015-05-19,236,,6594
2015-05-20,432,,6624
2015-05-21,326,,6693
2015-05-22,143,,6678
2015-05-23,147,,6392
2015-05-24,237,,6410
2015-05-25,137,,6736
2015-05-26,272,,6689
2015-05-27,108,,6725
2015-05-28,420,,6559
2015-05-29,264,,6419
2015-05-30,306,,6176
2015-05-31,644,,6279
2015-06-01,212,,6777
2015-06-02,234,,6755
2015-06-03,302,,6723
2015-06-04,224,,6687
2015-06-05,40,,6770
2015-06-06,63,,6640
2015-06-07,140,,6660
2015-06-08,603,,7134
2015-06-09,164,,7066
2015-06-10,218,,7012
2015-06-11,567,,7073
2015-06-12,408,,6751
2015-06-13,339,,6327
2015-06-14,264,,6272
2015-06-15,60,,6707
2015-06-16,225,,6833
2015-06-17,173,,6765
2015-06-18,212,,6841
2015-06-19,389,,6851
2015-06-20,225,,6467
2015-06-21,133,,6440
2015-06-22,166,,6865
2015-06-23,202,,6920
2015-06-24,41,,7076
2015-06-25,157,,7206
2015-06-26,212,,7393
2015-06-27,77,,7106
2015-06-28,158,,7042
2015-06-29,250,,7096
2015-06-30,268,,7011
2015-07-01,243,,6626
2015-07-02,56,,7143
2015-07-03,177,,7232
2015-07-04,368,,6497
2015-07-05,208,,6277
2015-07-06,182,,6800
2015-07-07,166,,6766
2015-07-08,286,,7007
2015-07-09,183,,7341
2015-07-10,201,,7332
2015-07-11,440,,7021
2015-07-12,677,,6811
2015-07-13,369,,7152
2015-07-14,218,,7109
2015-07-15,218,,7065
2015-07-16,476,,6808
2015-07-17,711,,6702
2015-07-18,389,,6475
2015-07-19,273,,6472
2015-07-20,304,,7062
2015-07-21,388,,7098
2015-07-22,266,,6889
2015-07-23,130,,6856
2015-07-24,336,,7062
2015-07-25,669,,6600
2015-07-26,339,,6486
2015-07-27,202,,6837
2015-07-28,556,,6855
2015-07-29,355,,6928
2015-07-30,145,,6988
2015-07-31,259,,7045
2015-08-01,362,,6656
2015-08-02,194,,6655
2015-08-03,336,,6899
2015-08-04,366,,6998
2015-08-05,181,,6898
2015-08-06,397,,6784
2015-08-07,203,,6742
2015-08-08,232,,6526
2015-08-09,410,,6524
2015-08-10,138,,6992
2015-08-11,258,,7104
2015-08-12,160,,7142
2015-08-13,246,,7266
2015-08-14,330,,6983
2015-08-15,408,,6355
2015-08-16,50,,6245
2015-08-17,75,,6646
2015-08-18,219,,6669
2015-08-19,412,,6902
2015-08-20,228,,6830
2015-08-21,502,,6710
2015-08-22,201,,6386
2015-08-23,303,,6382
2015-08-24,176,,6829
2015-08-25,157,,6961
2015-08-26,33,,6960
2015-08-27,415,,6989
2015-08-28,622,,7007
2015-08-29,672,,6657
2015-08-30,1080,,6518
2015-08-31,1022,,7055
2015-09-01,796,,6940
2015-09-02,665,,6911
2015-09-03,89,,6870
2015-09-04,385,,6812
2015-09-05,437,,6444
2015-09-06,702,,6381
2015-09-07,563,,6404
2015-09-08,821,,6702
2015-09-09,292,,6806
2015-09-10,109,,6873
2015-09-11,301,,6966
2015-09-12,685,,6740
2015-09-13,233,,6463
2015-09-14,142,,6959
2015-09-15,360,,6858
2015-09-16,96,,6820
2015-09-17,378,,6788
2015-09-18,988,,6864
2015-09-19,1037,,6579
2015-09-20,1019,,6552
2015-09-21,318,,6879
2015-09-22,294,,6861
2015-09-23,305,,6867
2015-09-24,453,,6890
2015-09-25,650,,6890
2015-09-26,307,,6624
2015-09-27,473,,6654
2015-09-28,151,,7005
2015-09-29,458,,6869
2015-09-30,92,,6935
2015-10-01,135,,6870
2015-10-02,305,,6881
2015-10-03,870,,6707
2015-10-04,95,,6641
2015-10-05,175,,6983
2015-10-06,497,,6942
2015-10-07,444,,7013
2015-10-08,541,,7010
2015-10-09,925,,6920
2015-10-10,1056,,6583
2015-10-11,1104,,6439
2015-10-12,886,,6567
2015-10-13,465,,6895
2015-10-14,393,,6987
2015-10-15,276,,7002
2015-10-16,300,,7008
2015-10-17,527,,6699
2015-10-18,461,,6556
2015-10-19,513,,7027
2015-10-20,417,,6938
2015-10-21,754,,6928
2015-10-22,544,,6911
2015-10-23,243,,6969
2015-10-24,207,,6735
2015-10-25,198,,6778
2015-10-26,684,,7116
2015-10-27,456,,7092
2015-10-28,464,,7085
2015-10-29,929,,7113
2015-10-30,955,,6994
2015-10-31,627,,6678
2015-11-01,892,,6762
2015-11-02,83,,7158
2015-11-03,47,,7212
2015-11-04,441,,7183
2015-11-05,453,,7235
2015-11-06,794,,7135
2015-11-07,1110,,6862
2015-11-08,720,,6953
2015-11-09,177,,7336
2015-11-10,613,,7237
2015-11-11,962,,7004
2015-11-12,1057,,7221
2015-11-13,1003,,7157
2015-11-14,301,,6898
2015-11-15,498,,6892
2015-11-16,703,,7190
2015-11-17,1029,,7219
2015-11-18,617,,7242
2015-11-19,496,,7368
2015-11-20,521,,7354
2015-11-21,1050,,6948
2015-11-22,934,,6848
2015-11-23,373,,7472
2015-11-24,780,,7612
2015-11-25,245,,7603
2015-11-26,495,,7612
2015-11-27,600,,7388
2015-11-28,123,,7138
2015-11-29,149,,7072
2015-11-30,219,,7416
2015-12-01,901,,7478
2015-12-02,1184,,7477
2015-12-03,982,,7501
2015-12-04,1057,,7320
2015-12-05,1019,,7120
2015-12-06,966,,7136
2015-12-07,1020,,7416
2015-12-08,918,,7407
2015-12-09,659,,7446
2015-12-10,301,,7550
2015-12-11,319,,7515
2015-12-12,205,,7425
2015-12-13,530,,7312
2015-12-14,62,,7640
2015-12-15,546,,7561
2015-12-16,250,,7636
2015-12-17,322,,7723
2015-12-18,506,,7841
2015-12-19,705,,7444
2015-12-20,1135,,7445
2015-12-21,506,,7731
2015-12-22,120,,7717
2015-12-23,85,,7764
2015-12-24,13,,7576
2015-12-25,174,,7293
2015-12-26,658,,7209
2015-12-27,880,,7227
2015-12-28,144,,7454
2015-12-29,73,,7607
2015-12-30,521,,7617
2015-12-31,1025,,7374
2016-01-01,694,,6936
2016-01-02,178,,7087
2016-01-03,826,,7115
2016-01-04,364,,7535
2016-01-05,95,,7586
2016-01-06,79,,7644
2016-01-07,197,,7665
2016-01-08,2,,7728
2016-01-09,338,,7534
2016-01-10,1048,,7371
2016-01-11,748,,7598
2016-01-12,1093,,7644
2016-01-13,883,,7518
2016-01-14,271,,7608
2016-01-15,128,,7723
2016-01-16,65,,7647
2016-01-17,348,,7598
2016-01-18,628,,7704
2016-01-19,449,,7757
2016-01-20,28,,7704
2016-01-21,964,,7704
2016-01-22,911,,7567
2016-01-23,473,,7216
2016-01-24,229,,7140
2016-01-25,671,,7514
2016-01-26,1142,,7443
2016-01-27,1145,,7345
2016-01-28,1218,,7310
2016-01-29,842,,7163
2016-01-30,861,,6961
2016-01-31,262,,7113
2016-02-01,211,,7528
2016-02-02,309,,7544
2016-02-03,758,,7533
2016-02-04,890,,7544
2016-02-05,1228,,7387
2016-02-06,1205,,6966
2016-02-07,847,,6948
2016-02-08,859,,7203
2016-02-09,918,,7181
2016-02-10,528,,7247
2016-02-11,311,,7329
2016-02-12,555,,7413
2016-02-13,895,,6947
2016-02-14,987,,6718
2016-02-15,711,,6870
2016-02-16,732,,7203
2016-02-17,340,,7245
2016-02-18,784,,7314
2016-02-19,819,,7248
2016-02-20,653,,7043
2016-02-21,629,,6900
2016-02-22,763,,7268
2016-02-23,700,,7150
2016-02-24,319,,7094
2016-02-25,726,,7057
2016-02-26,990,,7001
2016-02-27,688,,6757
2016-02-28,886,,6860
2016-02-29,371,,7336
2016-03-01,345,,7140
2016-03-02,675,,7147
2016-03-03,926,,7226
2016-03-04,794,,7166
2016-03-05,787,,6807
2016-03-06,532,,6846
2016-03-07,666,,7139
2016-03-08,767,,7179
2016-03-09,638,,7034
2016-03-10,1097,,7071
2016-03-11,779,,6941
2016-03-12,755,,6599
2016-03-13,899,,6681
2016-03-14,919,,7038
2016-03-15,757,,6956
2016-03-16,814,,7023
2016-03-17,341,,7052
2016-03-18,130,,6956
2016-03-19,878,,6694
2016-03-20,375,,6551
2016-03-21,525,,7000
2016-03-22,60,,6993
2016-03-23,575,,6963
2016-03-24,658,,7003
2016-03-25,119,,6562
2016-03-26,576,,6448
2016-03-27,598,,6439
2016-03-28,413,,6797
2016-03-29,246,,6734
2016-03-30,603,,6791
2016-03-31,306,,6751
2016-04-01,526,,6575
2016-04-02,1048,,6297
2016-04-03,375,,6207
2016-04-04,807,,6556
2016-04-05,929,,6528
2016-04-06,980,,6523
2016-04-07,177,,6485
2016-04-08,808,,6504
2016-04-09,754,,6243
2016-04-10,229,,6259
2016-04-11,576,,6487
2016-04-12,672,,6483
2016-04-13,886,,6519
2016-04-14,468,,6522
2016-04-15,249,,6398
2016-04-16,421,,6133
2016-04-17,438,,6152
2016-04-18,797,,6560
2016-04-19,387,,6608
2016-04-20,471,,6575
2016-04-21,423,,6629
2016-04-22,546,,6512
2016-04-23,293,,6386
2016-04-24,128,,6392
2016-04-25,54,,6709
2016-04-26,66,,6595
2016-04-27,126,,6565
2016-04-28,220,,6570
2016-04-29,254,,6506
2016-04-30,34,,6275
2016-05-01,79,,6226
2016-05-02,146,,6739
2016-05-03,471,,6832
2016-05-04,452,,6712
2016-05-05,621,,6412
2016-05-06,114,,6295
2016-05-07,635,,6149
2016-05-08,946,,5910
2016-05-09,823,,6246
2016-05-10,589,,6145
2016-05-11,138,,6151
2016-05-12,214,,6194
2016-05-13,50,,6225
2016-05-14,89,,5909
2016-05-15,134,,6025
2016-05-16,643,,6515
2016-05-17,474,,6488
2016-05-18,283,,6563
2016-05-19,384,,6547
2016-05-20,583,,6367
2016-05-21,313,,6042
2016-05-22,299,,6016
2016-05-23,507,,6017
2016-05-24,72,,6336
2016-05-25,115,,6491
2016-05-26,248,,6486
2016-05-27,720,,6381
2016-05-28,623,,6055
2016-05-29,738,,6097
2016-05-30,740,,6454
2016-05-31,201,,6437
2016-06-01,322,,6553
2016-06-02,771,,6593
2016-06-03,536,,6542
2016-06-04,323,,6323
2016-06-05,246,,6307
2016-06-06,611,,6828
2016-06-07,363,,6996
2016-06-08,403,,6832
2016-06-09,909,,6706
2016-06-10,301,,6451
2016-06-11,839,,6080
2016-06-12,1062,,6108
2016-06-13,403,,6583
2016-06-14,755,,6517
2016-06-15,861,,6376
2016-06-16,657,,6452
2016-06-17,801,,6518
2016-06-18,254,,6234
2016-06-19,1035,,6224
2016-06-20,193,,6906
2016-06-21,632,,6843
2016-06-22,236,,6894
2016-06-23,315,,6899
2016-06-24,681,,6739
2016-06-25,945,,6369
2016-06-26,243,,6396
2016-06-27,127,,6958
2016-06-28,236,,7030
2016-06-29,91,,7112
2016-06-30,327,,6975
2016-07-01,93,,6571
2016-07-02,240,,6566
2016-07-03,588,,6517
2016-07-04,391,,6822
2016-07-05,262,,6833
2016-07-06,166,,6806
2016-07-07,384,,6824
2016-07-08,624,,6837
2016-07-09,379,,6530
2016-07-10,312,,6454
2016-07-11,513,,6837
2016-07-12,289,,6861
2016-07-13,140,,6891
2016-07-14,92,,6894
2016-07-15,255,,6806
2016-07-16,60,,6505
2016-07-17,136,,6369
2016-07-18,86,,6857
2016-07-19,623,,6938
2016-07-20,751,,6932
2016-07-21,363,,6919
2016-07-22,364,,6941
2016-07-23,622,,6621
2016-07-24,312,,6695
2016-07-25,210,,7119
2016-07-26,138,,7175
2016-07-27,41,,7162
2016-07-28,82,,7095
2016-07-29,147,,7102
2016-07-30,358,,6556
2016-07-31,179,,6243
2016-08-01,273,,6421
2016-08-02,209,,6845
2016-08-03,440,,6804
2016-08-04,188,,6874
2016-08-05,455,,6905
2016-08-06,343,,6580
2016-08-07,152,,6505
2016-08-08,240,,6814
2016-08-09,199,,6809
2016-08-10,396,,6788
2016-08-11,271,,6860
2016-08-12,114,,6831
2016-08-13,142,,6571
2016-08-14,179,,6558
2016-08-15,54,,6892
2016-08-16,149,,7084
2016-08-17,232,,6855
2016-08-18,239,,6751
2016-08-19,193,,6707
2016-08-20,206,,6546
2016-08-21,624,,6573
2016-08-22,1092,,6847
2016-08-23,723,,6728
2016-08-24,174,,6744
2016-08-25,227,,6747
2016-08-26,216,,6848
2016-08-27,656,,6581
2016-08-28,288,,6413
2016-08-29,290,,6932
2016-08-30,372,,7058
2016-08-31,214,,7071
2016-09-01,653,,6918
2016-09-02,846,,6736
2016-09-03,637,,6340
2016-09-04,183,,6259
2016-09-05,341,,6335
2016-09-06,425,,6728
2016-09-07,604,,6795
2016-09-08,675,,6590
2016-09-09,560,,6587
2016-09-10,923,,6287
2016-09-11,656,,6216
2016-09-12,202,,6639
2016-09-13,439,,6707
